日期	名称	金额（元）	备注
2019年3月28日	进场费	30000	
2019年3月28日	2押1租+水电押金	41800	
2019年3月28日	中介费	13500	
2019年3月30日	加盟费	20000	
2019年3月30日	加盟保证金	30000	
2019年3月30日	品牌服务费	12000	
2019年3月30日	营业执照	1218	
2019年3月31日	宿舍押金	7440	
2019年4月5日	招聘海报	90	
2019年4月6日	油烟净化器	399	
2019年4月7日	宿舍房租	4900	
2019年4月7日	宿舍床垫	290	
2019年4月7日	排烟系统	3000	已经付清
2019年4月7日	厨具设备	5000	预付5000元
2019年4月8日	招牌	400	预付400元，字体加logo重新做等报价
2019年4月9日	差旅费	1250	店长报道
2019年4月10日	设备	2727	电磁炉，电压力锅，电烤箱
2019年4月12日	电路改造	2000	原来的供电不能满足使用
2019年4月12日	餐盘，筷子	500	美食城统一购买
2019年4月12日	员工聚餐+包餐	468	368元木屋烧烤，员工工作餐100元
2019年4月13日	收银系统	5500	
2019年4月14日	厨房设备	10000	
2019年4月14日	菜单，招牌	140	
2019年4月14日	沃尔玛采购	570	
2019年4月15日	沃尔玛采购	556	采购插板，拖把
2019年4月15日	沃尔玛采购	836	芙蓉王2条，利群2条
2019年4月15日	手工面，扯面	180	手工面30元，扯面150元
2019年4月15日	退电压力锅	-1588	
2019年4月16日	食品保证金	5000	
2019年4月16日	工服一套	100	
2019年4月16日	货架	1750	厨房改造
2019年4月16日	购买电磁炉	189	
2019年4月17日	关中源供货	246	意向金抵扣5000元，付款246元
2019年4月17日	办营业执照框，购买搅蒜器，配钥匙	177	
2019年4月17日	四格保温汤池	383	
2019年4月18日	细面，饮料	375	
2019年4月18日	定制工服	278	
2019年4月18日	木屋烧烤	255	
2019年4月19日	微波炉，克秤	627	
2019年4月19日	打印纸	167.9	
